BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE,YEAR
3,OCEAN PARKWAY-SOUTH,03 THREE FAMILY DWELLINGS,12,"537,995","1,656,583","1,320,000","5,500,000",2024
3,OLD MILL BASIN,01 ONE FAMILY DWELLINGS,76,"208,000","624,276","660,000","860,000",2024
3,OLD MILL BASIN,02 TWO FAMILY DWELLINGS,38,"505,000","795,388","795,000","1,225,000",2024
3,OLD MILL BASIN,03 THREE FAMILY DWELLINGS,3,"750,000","1,061,000","1,158,000","1,275,000",2024
3,PARK SLOPE,01 ONE FAMILY DWELLINGS,22,"1,025,000","4,935,159","4,772,500","12,500,000",2024
3,PARK SLOPE,02 TWO FAMILY DWELLINGS,39,"323,010","3,683,079","3,725,000","6,925,000",2024
3,PARK SLOPE,03 THREE FAMILY DWELLINGS,18,"1,850,000","3,108,014","2,925,000","5,300,000",2024
3,PARK SLOPE SOUTH,01 ONE FAMILY DWELLINGS,6,"637,500","1,773,583","1,824,500","2,695,000",2024
3,PARK SLOPE SOUTH,02 TWO FAMILY DWELLINGS,24,"725,000","2,241,625","2,125,000","3,300,000",2024
3,PARK SLOPE SOUTH,03 THREE FAMILY DWELLINGS,7,"1,755,000","2,610,714","2,625,000","3,350,000",2024
3,PROSPECT HEIGHTS,01 ONE FAMILY DWELLINGS,2,"2,985,000","3,917,500","3,917,500","4,850,000",2024
3,PROSPECT HEIGHTS,02 TWO FAMILY DWELLINGS,9,"525,000","3,499,333","2,750,000","7,400,000",2024
3,PROSPECT HEIGHTS,03 THREE FAMILY DWELLINGS,5,"930,000","2,815,500","2,995,000","4,030,000",2024
3,RED HOOK,01 ONE FAMILY DWELLINGS,5,"958,211","1,879,563","1,360,000","3,547,106",2024
3,RED HOOK,02 TWO FAMILY DWELLINGS,7,"1,250,000","1,750,714","1,800,000","2,185,000",2024
3,RED HOOK,03 THREE FAMILY DWELLINGS,4,"950,000","1,587,250","1,199,500","3,000,000",2024
3,SEAGATE,01 ONE FAMILY DWELLINGS,11,"340,000","796,906","820,000","1,300,000",2024
3,SEAGATE,02 TWO FAMILY DWELLINGS,10,"300,000","681,174","651,472","1,100,000",2024
3,SEAGATE,03 THREE FAMILY DWELLINGS,3,"565,000","941,667","1,100,000","1,160,000",2024
3,SHEEPSHEAD BAY,01 ONE FAMILY DWELLINGS,52,"330,000","883,434","838,000","2,120,000",2024
3,SHEEPSHEAD BAY,02 TWO FAMILY DWELLINGS,94,"221,250","1,062,798","992,500","2,880,000",2024
3,SHEEPSHEAD BAY,03 THREE FAMILY DWELLINGS,12,"328,825","1,219,902","1,230,000","1,880,000",2024
3,SPRING CREEK,01 ONE FAMILY DWELLINGS,1,"640,000","640,000","640,000","640,000",2024
3,SPRING CREEK,02 TWO FAMILY DWELLINGS,1,"849,000","849,000","849,000","849,000",2024
3,SUNSET PARK,01 ONE FAMILY DWELLINGS,6,"500,000","1,197,167","1,191,500","1,600,000",2024
3,SUNSET PARK,02 TWO FAMILY DWELLINGS,116,"300,000","1,522,158","1,430,000","4,980,000",2024
3,SUNSET PARK,03 THREE FAMILY DWELLINGS,28,"330,000","1,380,554","1,369,500","2,365,000",2024
3,WILLIAMSBURG-CENTRAL,02 TWO FAMILY DWELLINGS,3,"998,000","1,365,667","999,000","2,100,000",2024
