BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE,YEAR
3,GOWANUS,01 ONE FAMILY DWELLINGS,12,925000,3112890,2925000,5625000,2024
3,GOWANUS,02 TWO FAMILY DWELLINGS,22,760000,2448227,2125000,4650000,2024
3,GOWANUS,03 THREE FAMILY DWELLINGS,7,675000,2078571,1760000,3325000,2024
3,GRAVESEND,01 ONE FAMILY DWELLINGS,47,315000,952953,960000,2200000,2024
3,GRAVESEND,02 TWO FAMILY DWELLINGS,95,307235,1156509,1160000,2550000,2024
3,GRAVESEND,03 THREE FAMILY DWELLINGS,32,450000,1344595,1425000,1900000,2024
3,GREENPOINT,01 ONE FAMILY DWELLINGS,8,760500,1600813,1585000,2525000,2024
3,GREENPOINT,02 TWO FAMILY DWELLINGS,33,575000,2327060,2155000,5060475,2024
3,GREENPOINT,03 THREE FAMILY DWELLINGS,29,450000,2178696,2266875,3700000,2024
3,KENSINGTON,01 ONE FAMILY DWELLINGS,7,995000,1407714,1520000,1750000,2024
3,KENSINGTON,02 TWO FAMILY DWELLINGS,8,999000,1507313,1442500,2000000,2024
3,KENSINGTON,03 THREE FAMILY DWELLINGS,6,1525000,1745667,1750000,1999999,2024
3,MADISON,01 ONE FAMILY DWELLINGS,73,345000,1239047,1150000,3500000,2024
3,MADISON,02 TWO FAMILY DWELLINGS,36,400000,1384552,1232500,3750000,2024
3,MADISON,03 THREE FAMILY DWELLINGS,4,999000,1369750,1490000,1500000,2024
3,MANHATTAN BEACH,01 ONE FAMILY DWELLINGS,31,830000,1957516,1750000,8000000,2024
3,MANHATTAN BEACH,02 TWO FAMILY DWELLINGS,15,670239,1878616,1450000,6000000,2024
3,MARINE PARK,01 ONE FAMILY DWELLINGS,116,230000,792514,785000,1425000,2024
3,MARINE PARK,02 TWO FAMILY DWELLINGS,52,499999,860822,857500,1355000,2024
3,MARINE PARK,03 THREE FAMILY DWELLINGS,2,910000,949000,949000,988000,2024
3,MIDWOOD,01 ONE FAMILY DWELLINGS,97,393333,1404194,1325000,4031963,2024
3,MIDWOOD,02 TWO FAMILY DWELLINGS,26,775000,1408308,1090000,4800000,2024
3,MIDWOOD,03 THREE FAMILY DWELLINGS,5,786000,1630200,1675000,2390000,2024
3,MILL BASIN,01 ONE FAMILY DWELLINGS,43,605000,1092101,940000,3500000,2024
3,MILL BASIN,02 TWO FAMILY DWELLINGS,10,780000,1079200,987500,1620000,2024
3,MILL BASIN,03 THREE FAMILY DWELLINGS,1,300000,300000,300000,300000,2024
3,NAVY YARD,01 ONE FAMILY DWELLINGS,2,975000,1806250,1806250,2637500,2024
3,NAVY YARD,02 TWO FAMILY DWELLINGS,1,1160500,1160500,1160500,1160500,2024
3,OCEAN HILL,01 ONE FAMILY DWELLINGS,2,254400,452200,452200,650000,2024
3,OCEAN HILL,02 TWO FAMILY DWELLINGS,78,550000,1169451,1123000,3775000,2024
3,OCEAN HILL,03 THREE FAMILY DWELLINGS,46,390000,1206267,1180500,2100000,2024
3,OCEAN PARKWAY-NORTH,01 ONE FAMILY DWELLINGS,67,260000,2196767,1650000,9500000,2024
3,OCEAN PARKWAY-NORTH,02 TWO FAMILY DWELLINGS,59,375000,1916360,1700000,5250000,2024
3,OCEAN PARKWAY-NORTH,03 THREE FAMILY DWELLINGS,21,411600,2085076,1850000,4215000,2024
3,OCEAN PARKWAY-SOUTH,01 ONE FAMILY DWELLINGS,29,415000,3121662,2000000,9186750,2024
3,OCEAN PARKWAY-SOUTH,02 TWO FAMILY DWELLINGS,56,388000,1878397,1260000,9350000,2024
3,OCEAN PARKWAY-SOUTH,03 THREE FAMILY DWELLINGS,12,537995,1656583,1320000,5500000,2024
3,OLD MILL BASIN,01 ONE FAMILY DWELLINGS,76,208000,624276,660000,860000,2024
3,OLD MILL BASIN,02 TWO FAMILY DWELLINGS,38,505000,795388,795000,1225000,2024
3,OLD MILL BASIN,03 THREE FAMILY DWELLINGS,3,750000,1061000,1158000,1275000,2024
3,PARK SLOPE,01 ONE FAMILY DWELLINGS,22,1025000,4935159,4772500,12500000,2024
3,PARK SLOPE,02 TWO FAMILY DWELLINGS,39,323010,3683079,3725000,6925000,2024
3,PARK SLOPE,03 THREE FAMILY DWELLINGS,18,1850000,3108014,2925000,5300000,2024
3,PARK SLOPE SOUTH,01 ONE FAMILY DWELLINGS,6,637500,1773583,1824500,2695000,2024
3,PARK SLOPE SOUTH,02 TWO FAMILY DWELLINGS,24,725000,2241625,2125000,3300000,2024
3,PARK SLOPE SOUTH,03 THREE FAMILY DWELLINGS,7,1755000,2610714,2625000,3350000,2024
3,PROSPECT HEIGHTS,01 ONE FAMILY DWELLINGS,2,2985000,3917500,3917500,4850000,2024
3,PROSPECT HEIGHTS,02 TWO FAMILY DWELLINGS,9,525000,3499333,2750000,7400000,2024
3,PROSPECT HEIGHTS,03 THREE FAMILY DWELLINGS,5,930000,2815500,2995000,4030000,2024
3,RED HOOK,01 ONE FAMILY DWELLINGS,5,958211,1879563,1360000,3547106,2024
3,RED HOOK,02 TWO FAMILY DWELLINGS,7,1250000,1750714,1800000,2185000,2024
3,RED HOOK,03 THREE FAMILY DWELLINGS,4,950000,1587250,1199500,3000000,2024
3,SEAGATE,01 ONE FAMILY DWELLINGS,11,340000,796906,820000,1300000,2024
3,SEAGATE,02 TWO FAMILY DWELLINGS,10,300000,681174,651472,1100000,2024
3,SEAGATE,03 THREE FAMILY DWELLINGS,3,565000,941667,1100000,1160000,2024
3,SHEEPSHEAD BAY,01 ONE FAMILY DWELLINGS,52,330000,883434,838000,2120000,2024
3,SHEEPSHEAD BAY,02 TWO FAMILY DWELLINGS,94,221250,1062798,992500,2880000,2024
3,SHEEPSHEAD BAY,03 THREE FAMILY DWELLINGS,12,328825,1219902,1230000,1880000,2024
3,SPRING CREEK,01 ONE FAMILY DWELLINGS,1,640000,640000,640000,640000,2024
3,SPRING CREEK,02 TWO FAMILY DWELLINGS,1,849000,849000,849000,849000,2024
3,SUNSET PARK,01 ONE FAMILY DWELLINGS,6,500000,1197167,1191500,1600000,2024
3,SUNSET PARK,02 TWO FAMILY DWELLINGS,116,300000,1522158,1430000,4980000,2024
3,SUNSET PARK,03 THREE FAMILY DWELLINGS,28,330000,1380554,1369500,2365000,2024
3,WILLIAMSBURG-CENTRAL,02 TWO FAMILY DWELLINGS,3,998000,1365667,999000,2100000,2024
3,WILLIAMSBURG-CENTRAL,03 THREE FAMILY DWELLINGS,9,272000,1597381,995000,3500000,2024
